Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,,0.10000000149011612,2.94926938156011e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.034777879714966,2.8299996852874756,2.1368338558845093e-22,300.0,0.10000000149011612,1.029280424118042
Albania,,0.10000000149011612,2.9486164885796116e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0349020957946777,2.831102132797241,2.1522301488350164e-22,300.0,0.10000000149011612,1.0290436744689941
Algeria,,0.10000000149011612,2.955531728345239e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0347495079040527,2.830502510070801,2.1681752365400676e-22,300.0,0.10000000149011612,1.0293906927108765
American Samoa,,0.10000000149011612,2.9464809097199806e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0352535247802734,2.832822561264038,2.1382444654007893e-22,300.0,0.10000000149011612,1.0294690132141113
Andorra,,0.10000000149011612,2.9598647674046855e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.036508321762085,2.8334240913391113,2.1174001097122086e-22,300.0,0.10000000149011612,1.0301555395126343
Angola,,0.10000000149011612,2.955554149120668e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.035759925842285,2.82956600189209,2.1329980986189626e-22,300.0,0.10000000149011612,1.0302530527114868
Antigua and Barbuda,,0.10000000149011612,2.989024331096882e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.038317918777466,2.8326733112335205,2.1110369683240787e-22,300.0,0.10000000149011612,1.0308927297592163
Argentina,,0.10000000149011612,2.9500794441763667e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0355188846588135,2.832390308380127,2.1473586487553507e-22,300.0,0.10000000149011612,1.0297414064407349
Armenia,,0.10000000149011612,2.943693558918623e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0346333980560303,2.831315040588379,2.1551301277403536e-22,300.0,0.10000000149011612,1.0288749933242798
Aruba,,0.10000000149011612,2.979848628752483e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0378177165985107,2.832442283630371,2.1064758376789632e-22,300.0,0.10000000149011612,1.0309313535690308
Australia,,0.10000000149011612,0.0,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.032815456390381,2.831295967102051,2.1403909243694594e-22,300.0,0.10000000149011612,1.0285747051239014
Austria,,0.10000000149011612,0.0,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0335381031036377,2.832244396209717,2.148211123403969e-22,300.0,0.10000000149011612,1.0288410186767578
Azerbaijan,,0.10000000149011612,2.9538181084791853e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.034961700439453,2.8318583965301514,2.15776252502664e-22,300.0,0.10000000149011612,1.0292474031448364
Bahamas,,0.10000000149011612,2.9826231997118463e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.037954807281494,2.8324999809265137,2.1084053283442614e-22,300.0,0.10000000149011612,1.0307371616363525
Bahrain,,0.10000000149011612,2.9874743828914617e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.036970376968384,2.8315911293029785,2.124511974762702e-22,300.0,0.10000000149011612,1.0298402309417725
Bangladesh,,0.10000000149011612,0.0,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0340828895568848,2.8309707641601562,2.1542998674148266e-22,300.0,0.10000000149011612,1.0286238193511963
Barbados,,0.10000000149011612,2.9761000993084757e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.037875175476074,2.832207441329956,2.1064595555898794e-22,300.0,0.10000000149011612,1.0305317640304565
Belarus,,0.10000000149011612,2.947402852005629e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0345845222473145,2.8315491676330566,2.1617585788281275e-22,300.0,0.10000000149011612,1.0287113189697266
Belgium,,0.10000000149011612,0.0,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0328283309936523,2.8314967155456543,2.1624017844558085e-22,300.0,0.10000000149011612,1.0284525156021118
Belize,,0.10000000149011612,2.945108982471468e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0347647666931152,2.8315136432647705,2.156486968497334e-22,300.0,0.10000000149011612,1.0295145511627197
Benin,,0.10000000149011612,2.9853094328160184e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.038264751434326,2.830873489379883,2.1084053283442614e-22,300.0,0.10000000149011612,1.0312391519546509
Bermuda,,0.10000000149011612,2.9891377802205538e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0382087230682373,2.8326399326324463,2.107062497756958e-22,300.0,0.10000000149011612,1.030515193939209
Bhutan,,0.10000000149011612,2.97793860289367e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0380616188049316,2.8327736854553223,2.1058490403581108e-22,300.0,0.10000000149011612,1.0305309295654297
Bosnia and Herzegovina,,0.10000000149011612,2.9664871918432074e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.035935163497925,2.830745220184326,2.1421716043135967e-22,300.0,0.10000000149011612,1.0293203592300415
Botswana,,0.10000000149011612,2.9942286414895073e-37,1.0,0.5199999809265137,0.25999999046325684,-0.20000000298023224,2.0384936332702637,2.831411361694336,2.1117778664862622e-22,300.0,0.10000000149011612,1.0311321020126343
