Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0023103253915905952,5.0,0.0,0.10000000149011612,2.200000047683716
Albania,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.007004527375102043,5.0,0.0,0.10000000149011612,2.200000047683716
Algeria,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0013727021869271994,5.0,0.0,0.10000000149011612,2.200000047683716
American Samoa,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0013793979305773973,5.0,0.0,0.10000000149011612,2.200000047683716
Andorra,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.004015868529677391,5.0,0.0,0.10000000149011612,2.200000047683716
Angola,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.012999015860259533,5.0,0.0,0.10000000149011612,2.200000047683716
Antigua and Barbuda,,0.10000000149011612,1.900524219701426e-17,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.30567631125450134,5.0,4.311987315936686e-33,0.10000000149011612,2.200000047683716
Argentina,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0014685713686048985,5.0,0.0,0.10000000149011612,2.200000047683716
Armenia,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0024339137598872185,5.0,0.0,0.10000000149011612,2.200000047683716
Aruba,,0.10000000149011612,2.2247161890476264e-09,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.8649523854255676,5.0,4.221139888985665e-18,0.10000000149011612,2.1999874114990234
Australia,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0011030836030840874,5.0,0.0,0.10000000149011612,2.200000047683716
Austria,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0010509303538128734,5.0,0.0,0.10000000149011612,2.200000047683716
Azerbaijan,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.001968401949852705,5.0,0.0,0.10000000149011612,2.200000047683716
Bahamas,,0.10000000149011612,3.0648362320251366e-11,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.6887770295143127,5.0,1.4713537749788418e-21,0.10000000149011612,2.199998378753662
Bahrain,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.006206126417964697,5.0,0.0,0.10000000149011612,2.200000047683716
Bangladesh,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.001051413593813777,5.0,0.0,0.10000000149011612,2.200000047683716
Barbados,,0.10000000149011612,7.307801567854853e-18,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.2890469431877136,5.0,7.336864980224097e-34,0.10000000149011612,2.200000047683716
Belarus,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0010554722975939512,5.0,0.0,0.10000000149011612,2.200000047683716
Belgium,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0010241447016596794,5.0,0.0,0.10000000149011612,2.200000047683716
Belize,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0020958008244633675,5.0,0.0,0.10000000149011612,2.200000047683716
Benin,,0.10000000149011612,3.804394014635443e-32,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.039289440959692,5.0,0.0,0.10000000149011612,2.200000047683716
Bermuda,,0.10000000149011612,9.519727855319217e-17,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.3360132575035095,5.0,8.602576226584591e-32,0.10000000149011612,2.200000047683716
Bhutan,,0.10000000149011612,5.9084646815546134e-21,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.18897049129009247,5.0,0.0,0.10000000149011612,2.200000047683716
Bosnia and Herzegovina,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0020697936415672302,5.0,0.0,0.10000000149011612,2.200000047683716
Botswana,,0.10000000149011612,9.369202785464178e-33,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.03608602657914162,5.0,0.0,0.10000000149011612,2.200000047683716
Brazil,,0.10000000149011612,0.0,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.0010152797913178802,5.0,0.0,0.10000000149011612,2.200000047683716
British Virgin Islands,,0.10000000149011612,2.960501952998978e-18,1.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000000474974513,0.2738599479198456,5.0,1.361061516545192e-34,0.10000000149011612,2.200000047683716
