,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
0,El Salvador,,2023-04-05,0.03302179062642951,0.03007404244391968,0.028600168352664775,0.034342662251486696,0.03127700414167647,0.02974417508677136
1,Japan,,2023-04-12,3.6555693775276588,2.639431575786221,2.1313626749155024,6.720599134040264,4.180211825856774,2.9100181717650284
2,Austria,,2022-07-26,6.622907844536355,3.438684344590887,1.8465725946181522,20.936888878263527,9.521055115568677,3.8131382342212525
3,Bolivia,,2022-09-07,3.247579168157956,5.425962171683522,6.515153673446306,7.999697982627696,10.137837968397557,11.206907961282488
4,Guatemala,,2022-11-09,8.835097820335461,7.259235334712859,6.471304091901556,27.668175672234725,16.97376777959096,11.626563833269076
5,Sweden,,2022-08-02,5.529358420625876,4.45352790111886,3.9156126413653505,11.220217392379157,7.59480938432113,5.782105380292115
6,China,,2023-05-23,31.627250411012753,18.04803622265492,11.258429128476006,276.3571674617611,106.89377670583389,22.16208132787029
7,Ecuador,,2022-09-28,55.67263181976564,22.34731172096617,5.684651671566441,192.62730609638916,72.22601984315563,12.02537671653887
8,Switzerland,,2022-07-02,4.942949414800428,4.71815610094206,4.605759444012876,24.08285746541815,15.548809402773822,11.281785371451658
9,Netherlands,,2022-06-22,10.094398421167199,6.320012843784688,4.4328200550934325,116.71698080100376,54.39089134782106,23.227846621229677
10,Germany,,2022-06-08,2.4588869732495344,5.5106429716610394,7.036520970866793,77.4281261880426,56.66432049110946,46.282417642642905
11,Mexico,,2022-08-10,6.457230932408599,10.434923451891287,12.423769711632628,156.9501713804901,93.74281904023573,62.13914287010852
12,Paraguay,,2023-02-22,23.54257247793983,9.309907799413551,2.19357546015041,29.428215597424792,11.49523903962271,2.528750760721664
13,Panama,,2023-01-25,93.42574217202208,33.62612019014981,3.7263091992136643,205.0805304734556,71.99421329690351,5.451054708627473
14,Peru,,2022-07-20,3.6814331165188854,7.761959206921956,9.802222252123496,89.07915973436562,69.55582222152188,59.7941534651
15,Colombia,,2022-08-17,8.889275224394142,9.372413596546147,9.613982782622154,289.2946430089925,149.40778902376968,79.46436203115823
16,Argentina,,2022-08-24,14.745373557924374,9.727610417369888,7.218728847092645,104.92167888065957,47.43698496221955,18.694638002999543
17,Belgium,,2022-06-28,26.185563655896622,15.184856464080646,9.68450286817266,190.99082976790268,80.8662567099269,25.80397018093901
18,Australia,,2022-08-23,1.252315167041671,2.3851497393743286,2.9515670255406588,1.7565330406273856,3.091552376823813,3.7590620449220276
19,United States,,2022-06-15,24.996462310993532,17.739145606671748,14.110487254510867,4137.8854855213185,1558.3035408878054,268.51256857104875
20,Israel,,2022-07-19,2.14640345088693,3.0562239360110257,3.511134178573071,5.345315946445891,5.616738275964304,5.7524494407235105
21,France,,2022-06-14,4.186485368050239,11.071724503953174,14.514344071904633,131.50160519130336,110.30415203918565,99.70542546312682
22,Canada,,2022-06-08,14.320646270287485,14.099066645646966,13.988276833326704,164.7230656418283,81.45679658806242,39.82366206117946
23,Ghana,,2022-09-30,4.794618244299092,1.7969778676402062,0.2981576793107632,5.4935043539210735,2.04183995175543,0.31600775067260756
24,Denmark,,2022-08-02,1.1568971965097974,1.4779337493884228,1.638452025827735,2.1907352471653505,2.4010109196716556,2.506148755924808
25,Puerto Rico,,2022-08-31,5.992699820712991,5.272894247536969,4.912991460948956,12.102485175099593,9.351568853231619,7.976110692297631
26,Costa Rica,,2023-01-18,4.682509907727529,4.898933350056402,5.0071450712208385,10.054814551168004,8.76870941723003,8.125656850261041
27,South Korea,,2023-06-05,2.9042248766190224,1.8814134619250638,1.3700077545780838,3.901214575845505,2.3414599634884516,1.5615826573099247
28,Portugal,,2022-06-01,99.76239381204662,35.46157725770404,3.311168980532754,781.5960352737227,268.0618039115331,11.294688230438343
29,Chile,,2022-08-10,11.01046616455669,10.785613577039868,10.67318728328146,121.77774897946627,65.56153251210046,37.45342427841755
30,Brazil,,2022-07-06,27.189506295011114,16.42823292453103,11.047596239290991,1855.5623792357146,719.35390755836,151.24967171968268
31,Nigeria,,2022-07-08,11.846483347267782,8.061039407071027,6.168317436972647,47.670363593294546,23.052447978965283,10.74349017180065
32,Spain,,2022-06-01,26.599907486630116,29.126894604274145,30.390388163096166,1391.412724241804,630.5610267746654,250.13517804109603
33,United Kingdom,,2022-05-27,92.69974163099054,35.721672391618284,7.232637771932161,2756.90096874032,951.3889736903957,48.63297616543358
34,Italy,,2022-06-25,2.410666591889747,3.956799999893789,4.729866703895809,18.778736731412952,16.068673312671812,14.71364160330124
35,Democratic Republic of Congo,,2022-08-12,11.509817849260637,5.99532442838373,3.238077717945275,28.076583143258386,13.167664830104096,5.713205673526949
36,Poland,,2022-08-16,4.210435874049842,5.570689489671613,6.2508162974825,8.462147077426863,8.99711044002312,9.264592121321247
37,Ireland,,2022-08-09,3.980510044776252,3.586510268910266,3.3895103809772738,8.014070621138616,5.84388873834166,4.758797796943179
