Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Afghanistan,,0.1163548082113266,98.54266357421875,15.26835823059082,0.18283295631408691,0.06016073375940323,-0.09290818870067596,1.6223371028900146,4.921551704406738,3.4720370769500732,278.2596435546875,7.284833908081055,2.1015067100524902
Albania,,0.10000000149011612,2.5511110379738966e-06,15.999921798706055,0.019999999552965164,0.010000022128224373,-0.19999992847442627,0.15134406089782715,4.999529838562012,5.0,299.9950256347656,0.10000000149011612,2.200000047683716
Algeria,,0.14648297429084778,93.6982192993164,14.255084991455078,0.20071645081043243,0.0864541232585907,0.0868341475725174,1.9126940965652466,4.695905685424805,3.361823558807373,253.1417236328125,15.345269203186035,1.9975848197937012
American Samoa,,0.15429747104644775,97.8934555053711,15.292346954345703,0.26417437195777893,0.07117631286382675,-0.07625578343868256,1.8427789211273193,4.944238185882568,3.2652335166931152,281.87030029296875,9.514354705810547,2.0591354370117188
Andorra,,0.10000000149011612,1.1959691624924444e-17,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.002288299147039652,5.000999450683594,5.0,300.0,0.10000000149011612,2.200000047683716
Angola,,0.10000000149011612,1.0427433955082065e-20,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0013588254805654287,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Antigua and Barbuda,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.001000052667222917,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Argentina,,0.1687273383140564,84.67268371582031,13.332633018493652,0.19594474136829376,0.09676743298768997,0.31916964054107666,2.1088640689849854,4.426703453063965,3.511287212371826,236.6838836669922,18.138689041137695,1.9403623342514038
Armenia,,0.10000000149011612,7.040224075317383,15.894718170166016,0.020157448947429657,0.011408066377043724,-0.1904306858778,1.4127012491226196,4.911288738250732,4.994710445404053,295.0906677246094,0.1148533970117569,2.1998746395111084
Aruba,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000232141464949,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Australia,,0.20143678784370422,84.05354309082031,13.520171165466309,0.2277137041091919,0.10701385885477066,0.2892380952835083,2.087451219558716,4.5266289710998535,3.3765790462493896,237.3284912109375,19.156110763549805,1.9192386865615845
Austria,,0.251404732465744,47.69405746459961,9.80538272857666,0.23386768996715546,0.11037798970937729,0.8070901036262512,2.3273231983184814,3.7182655334472656,3.7925615310668945,197.9774932861328,20.408729553222656,1.79046630859375
Azerbaijan,,0.1000002920627594,39.518028259277344,15.790154457092285,0.021611303091049194,0.014893386512994766,-0.1783539056777954,1.4843759536743164,4.891820907592773,4.965265274047852,291.19598388671875,0.21274720132350922,2.1989545822143555
Bahamas,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000388137996197,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Bahrain,,0.10000000149011612,0.0015385152073577046,15.998269081115723,0.019999999552965164,0.010001744143664837,-0.19998948276042938,0.4393685758113861,4.993812561035156,5.0,299.92559814453125,0.10000010579824448,2.200000047683716
Bangladesh,,0.3316318094730377,36.4951171875,7.986209392547607,0.25317689776420593,0.11493126302957535,1.1247243881225586,2.423995018005371,3.296494245529175,3.7168798446655273,185.2119903564453,26.642675399780273,1.6159600019454956
Barbados,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010001163464039564,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Belarus,,0.3105680048465729,33.09415817260742,7.957249641418457,0.2541082501411438,0.10800174623727798,1.0643919706344604,2.415943145751953,3.4141273498535156,3.892303466796875,193.53030395507812,23.48987579345703,1.6685349941253662
Belgium,,0.4292517304420471,27.588254928588867,6.879333019256592,0.2798493504524231,0.1171921044588089,1.2628867626190186,2.492421865463257,3.262512683868408,3.7079975605010986,184.41415405273438,30.327533721923828,1.5293588638305664
Belize,,0.10000000149011612,0.000473173800855875,15.999334335327148,0.019999999552965164,0.01000047568231821,-0.19999736547470093,0.35299286246299744,4.997493267059326,5.0,299.968017578125,0.10000001639127731,2.200000047683716
Benin,,0.10000000149011612,9.674508055731496e-33,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.001002138014882803,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Bermuda,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010001027258113027,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Bhutan,,0.10000000149011612,3.863239225103408e-34,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010012106504291296,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Bosnia and Herzegovina,,0.10000000149011612,0.14066126942634583,15.989578247070312,0.020000195130705833,0.010030183009803295,-0.1998140662908554,0.8436686396598816,4.981490135192871,4.9999847412109375,299.5545959472656,0.10002347826957703,2.200000047683716
Botswana,,0.10000000149011612,8.03682201668351e-36,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010005640797317028,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Brazil,,0.46989548206329346,26.991758346557617,6.643615245819092,0.2901476323604584,0.12100581079721451,1.2594633102416992,2.5650572776794434,3.257204532623291,3.615628242492676,188.1538848876953,34.84233093261719,1.4946837425231934
British Virgin Islands,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000219335779548,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Bulgaria,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010000100592151284,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Burkina Faso,,0.10000000149011612,1.9544482048554526e-22,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0011657139984890819,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Burundi,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010001016780734062,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Cambodia,,0.10000000149011612,0.0,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010001243790611625,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
Cameroon,,0.10000000149011612,5.872651672689244e-05,15.99992847442627,0.019999999552965164,0.010000032372772694,-0.19999980926513672,0.23292197287082672,5.000342845916748,5.0,299.9947204589844,0.10000000149011612,2.200000047683716
Canada,,0.4406771659851074,27.81298065185547,6.900367736816406,0.2800304591655731,0.1165396049618721,1.2876601219177246,2.491401195526123,3.257549285888672,3.6940670013427734,184.57395935058594,30.375831604003906,1.5207349061965942
Cayman Islands,,0.10000000149011612,4.801935318603427e-36,16.0,0.019999999552965164,0.009999999776482582,-0.20000000298023224,0.0010005345102399588,5.000999927520752,5.0,300.0,0.10000000149011612,2.200000047683716
