Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Argentina,,0.10000000149011612,9.902752751026111e-27,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010348990326747298,5.0,299.78021240234375,0.10000000149011612,2.200000047683716
Australia,,0.10000000149011612,1.8764845313032874e-17,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0027731317095458508,5.0,297.6114501953125,0.10000000149011612,2.200000047683716
Austria,,0.10000000149011612,1.0338935490058502e-30,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010064606321975589,5.0,299.9209899902344,0.10000000149011612,2.200000047683716
Belgium,,0.10000000149011612,1.3715281394772804e-28,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010158877121284604,5.0,299.8637390136719,0.10000000149011612,2.200000047683716
Bolivia,,0.10000000149011612,1.5107178584187234e-23,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0011343209771439433,5.0,299.5010681152344,0.10000000149011612,2.200000047683716
Brazil,,0.10000000149011612,1.155087678491446e-36,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010005199583247304,5.0,299.98297119140625,0.10000000149011612,2.200000047683716
Canada,,0.10000000149011612,1.131481073803206e-28,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010153374169021845,5.0,299.86669921875,0.10000000149011612,2.200000047683716
Chile,,0.10000000149011612,2.2691806895166123e-30,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010074710007756948,5.0,299.9139404296875,0.10000000149011612,2.200000047683716
China,,0.10000000149011612,4.593412095534565e-22,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0012519375886768103,5.0,299.2703552246094,0.10000000149011612,2.200000047683716
Colombia,,0.10000000149011612,3.644922717889973e-35,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0010009810794144869,5.0,299.9749450683594,0.10000000149011612,2.200000047683716
Costa Rica,,0.10000000149011612,7.831820155034951e-17,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0033073783852159977,5.0,297.2105407714844,0.10000000149011612,2.200000047683716
Democratic Republic of Congo,,0.10000000149011612,9.514682053582643e-17,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0033914404921233654,5.0,297.1502685546875,0.10000000149011612,2.200000047683716
Denmark,,0.10000000149011612,4.633999481357391e-21,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0013848242815583944,5.0,299.0524597167969,0.10000000149011612,2.200000047683716
Ecuador,,0.10000000149011612,4.591151788160053e-22,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.0012515626149252057,5.0,299.2691650390625,0.10000000149011612,2.200000047683716
El Salvador,,0.10000000149011612,3.04388701743985e-11,1.0,0.019999999552965164,0.010000022128224373,4.799997806549072,0.001000109245069325,0.02549261413514614,5.0,288.5638427734375,0.10000000149011612,2.200000047683716
