,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
0,Guatemala,,2022-11-09,55.766283575823984,30.99844554945186,6.230607523079738,184.00578904902432,97.08282739625966,10.159865743495
1,El Salvador,,2023-04-05,0.030458754468096774,0.02792103114254334,0.025383307816989914,0.03167710464682066,0.029037872388245085,0.02639864012966951
2,Thailand,,2023-07-12,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
3,Mexico,,2022-08-10,6.958787440401981,8.860076322393146,10.761365204384314,152.39646928161307,99.90333869210536,47.41020810259766
4,Germany,,2022-06-08,3.8852656830345977,3.9717993361951214,4.058332989355645,107.8027111315022,67.0556255674593,26.308540003416365
5,Bolivia,,2022-09-07,11.44684078460229,9.641979502825281,7.837118221048272,28.188195852676774,20.303040146908945,12.417884441141114
6,Sweden,,2022-08-02,3.40227413614684,3.533485507594361,3.6646968790418786,6.828986314953834,5.9372945199197815,5.045602724885727
7,United States,,2022-06-15,57.340709178055036,36.17872472978842,15.016740281521807,7845.246608074853,3985.454338526626,125.66206897839899
8,Ghana,,2022-09-30,3.1086261868417795,1.6998956847604052,0.2911651826790312,3.5500015355015453,1.9286572803640785,0.3073130252266115
9,Puerto Rico,,2022-08-31,3.2274854545273914,4.582480862358975,5.937476270190562,6.365731346233431,7.751013605534871,9.13629586483631
10,Nigeria,,2022-07-08,4902.433525966842,2454.6671775546406,6.900829142439843,21569.66867630656,10789.94226981578,10.215863325000551
11,Austria,,2022-07-26,1.3314424091633181,1.9181370807837637,2.5048317524042107,4.015078010258409,4.370371973654019,4.725665937049629
12,Israel,,2022-07-19,36.803415175359625,19.668892290442084,2.534369405524552,92.35292916765741,48.130798595924226,3.908668024191047
13,Costa Rica,,2023-01-18,5.547710689090603,5.564798538197299,5.581886387303995,11.741566708387351,10.166494035019934,8.591421361652516
14,China,,2023-05-23,5562471.238002109,2781239.647101125,8.05620014119819,48315769.942624114,24157891.655014604,13.367405093606207
15,Netherlands,,2022-06-22,6.832182152653752,5.36103962452609,3.8898970963984256,78.11460711541311,47.9284764738798,17.7423458323465
16,Argentina,,2022-08-24,35.90269197074698,21.601817889549,7.300943808351033,252.5190513253703,134.71548859976676,16.9119258741632
17,Democratic Republic of Congo,,2022-08-12,1470159.7167567166,735081.8940390968,4.071321477045221,3675190.66428184,1837598.661047178,6.657812516174098
18,Canada,,2022-06-08,761.3843776983988,389.37673086978464,17.369084041170275,8975.918028197184,4508.57461257993,41.23119696267403
19,Brazil,,2022-07-06,12.007734208179913,12.046355487306304,12.084976766432687,728.5390652528748,423.74144463191277,118.94382401095069
20,Ireland,,2022-08-09,8.530085844817274,6.2152101872156775,3.9003345296140823,16.619749049029064,10.882376385208133,5.145003721387202
21,Panama,,2023-01-25,78511.88908269558,39257.972232122986,4.055381550403926,174049.72525648275,87027.60906183998,5.492867197180201
22,Australia,,2022-08-23,1.669699249388155,2.6027470267860573,3.5357948041839573,2.3216813281094795,3.3494110344607173,4.377140740811952
23,Ecuador,,2022-09-28,24.284355595095803,14.318026270528893,4.351696945961976,82.96946323190349,45.336671772864875,7.7038803138262555
24,Denmark,,2022-08-02,3.1516758710774564,2.344730987275659,1.537786103473861,5.951648744872484,4.0826526082199655,2.213656471567448
25,Switzerland,,2022-07-02,184.4885692571504,94.12064358139567,3.752717905640938,905.5430654098501,456.44779563821197,7.352525866573648
26,Paraguay,,2023-02-22,4.7525097607102165,3.717126797086973,2.681743833463729,5.91945728727031,4.474951944460907,3.030446601651504
27,France,,2022-06-14,35149.11010119095,17578.513288170856,7.916475150765201,1218591.7946608565,609320.4261491843,49.05763751193077
28,South Korea,,2023-06-05,364.9252246194803,183.1422349965458,1.3592453736112529,491.0611801354163,246.28680876588018,1.5124373963440514
29,Portugal,,2022-06-01,23.45877994654069,14.139415946053996,4.8200519455672985,165.6308672572571,89.40958607739566,13.188304897534218
30,Peru,,2022-07-20,49.85426860344965,31.226607885824393,12.598947168199132,1185.6590310417487,623.4688230787733,61.27861511579799
31,Italy,,2022-06-25,16.078441703723612,10.322511736673981,4.566581769624353,124.19605710598903,68.43277992615529,12.669502746321525
32,Spain,,2022-06-01,30.28750169986211,30.674123133067297,31.060744566272504,1494.06431908958,809.927302060452,125.7902850313241
33,United Kingdom,,2022-05-27,32.84367800870399,19.5381676563874,6.232657304070806,857.0954461841628,443.85983421931763,30.62422225447227
34,Belgium,,2022-06-28,51.48851942205417,32.117348412186395,12.74617740231861,366.8033663310314,198.01429271781302,29.225219104594718
35,Chile,,2022-08-10,719.233809819848,366.5745291641949,13.915248508542089,8001.50398475603,4022.7664711473253,44.02895753862009
36,Japan,,2023-04-12,7.231253071456612,5.413624186832543,3.595995302208474,13.097855297342964,8.77226612040463,4.446676943466302
37,Poland,,2022-08-16,5.106380101720106,5.241414383699093,5.376448665678078,10.385651015286507,8.909222631823011,7.4327942483595155
38,Colombia,,2022-08-17,9.11807735724777,11.35707970069355,13.596082044139331,283.6315987091055,181.37812927940428,79.1246598497031
