,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
0,Bolivia,,2020-04-01,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
1,Brunei,,2020-03-25,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
2,Cote d'Ivoire,,2020-03-25,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
3,Curacao,,2020-09-09,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
4,Democratic Republic of Congo,,2020-04-01,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
5,Czechia,,2020-03-13,7.646966684195766,6.69531582426955,5.7436649643433295,677.8729911484901,374.588897787706,71.3048044269218
6,Dominican Republic,,2020-03-24,28.76643289789816,16.62982913225564,4.493225366613114,4894.645341697523,2490.534024499477,86.42270730143034
7,Chad,,2020-05-02,2.763410042496964,4.4986580546023465,6.233906066707727,23.908115697398863,23.84894069788411,23.789765698369358
8,China,,2020-01-19,4.17944675618188,16.617239354171137,29.05503195216039,3410.857789271522,2685.6084074182504,1960.3590255649801
9,Chile,,2020-03-17,50.61606407175313,26.97418684876619,3.332309625779234,37173.381163160375,18623.42988375649,73.47860435260507
10,Cambodia,,2020-03-29,1.856389392026458,1.268597716999096,0.6808060419717343,2.3426235042564114,1.574498186142686,0.8063728680289606
11,British Virgin Islands,,2021-01-06,204.8950207961938,103.56967370000577,2.24432660381773,315.48596301479654,159.21384394998577,2.9417248851750415
12,Australia,South Australia,2020-03-23,5.904053085884745,5.2194533434989445,4.534853601113146,25.942069905168392,21.447389562264938,16.95270921936148
13,Botswana,,2020-06-25,9.153375050087934,7.9957423718630345,6.8381096936381365,172.1950480574354,98.35187053911113,24.508693020786808
14,Anguilla,,2021-05-12,2.137120949608903,1.0849445355139935,0.03276812141908425,2.40610874321146,1.220912997779131,0.03571725234680182
15,Croatia,,2020-03-20,2.7667995723664833,2.3935255345644455,2.02025149676241,61.75178643948185,39.09043191125103,16.429077383020218
16,Colombia,,2020-03-20,1354.5269259410386,681.0094010120175,7.491876082996525,425001.37167300645,212534.0151240446,66.6585750827728
17,Aruba,,2020-05-06,4.368109335719519,2.20041601589154,0.032722696063559834,4.891527271844947,2.462288597434571,0.033049923024195425
18,Canada,Quebec,2020-03-17,10.927153924717576,7.872186380581243,4.8172188364449084,5104.524027194451,2636.027954502106,167.5318818097604
19,Antigua and Barbuda,,2020-09-28,3.366705103519024,2.3010500287514355,1.2353949539838462,4.872715951575536,3.1416686262752584,1.4106213009749808
20,Belarus,,2020-03-31,8.384258793594597,10.10931180203049,11.834364810466374,4195.561907519656,2217.4852958981537,239.40868427665205
21,Azerbaijan,,2020-03-28,35.392028101084286,19.27781868472755,3.1636092683708017,2306.017083664345,1167.3989866110376,28.780889557730234
22,Australia,Queensland,2020-03-19,1.7835788457525599,1.9091471698853162,2.0347154940180734,18.84436226601621,15.36094452662719,11.87752678723817
23,Canada,Ontario,2020-03-10,10.74877345232812,10.582354079666,10.415934707003883,2700.992746245357,1423.0858096699474,145.17887309453684
24,Canada,Nunavut,2020-11-21,4.192880723960606,2.9651810460526624,1.7374813681447185,12.270560618856077,7.938038024253362,3.605515429650644
25,Australia,Victoria,2020-03-18,11.07426925156057,7.370472205611238,3.6666751596619056,178.42318215806145,99.3236643402175,20.224146522373577
26,Australia,Western Australia,2020-03-22,3.0458886247715258,2.6961821769924534,2.3464757292133824,17.6614938552614,13.3148748507918,8.96825584632219
27,Bahrain,,2020-03-10,555.9737566767193,286.13181733947573,16.289878002232154,46081.328244704884,23079.461003566004,77.59376242712047
28,Comoros,,2020-06-13,18728.255316304407,9367.850039913592,7.444763522775332,65189.331038679215,32602.104576961465,14.878115243710615
29,Australia,,2020-03-12,4.121195692341787,8.345542981788373,12.569890271234957,283.1192898348689,258.2312427513183,233.34319566776782
30,Belize,,2020-08-08,24.117513163986214,18.606606016114057,13.095698868241909,649.1711265194002,357.8361471738897,66.50116782837922
31,Bulgaria,,2020-03-22,1911.8119686827545,964.7295771326753,17.64718558259607,50306.21064645118,25196.422121289295,86.63359612742063
32,Australia,New South Wales,2020-03-14,5.394700769868127,6.5192226806462275,7.643744591424325,165.11659283652247,131.9420303524718,98.76746786842111
33,Canada,Prince Edward Island,2021-01-07,15.12459345643354,8.091928078821043,1.059262701208546,21.990098852091297,11.570938982667577,1.1517791132438557
34,Australia,Tasmania,2020-04-09,0.5570728786355289,0.7452117311164818,0.9333505835974347,1.270126163289006,1.46651543194096,1.6629047005929136
35,Angola,,2020-06-11,441.0920355116708,221.69431377613282,2.296592040594865,10476.566135478302,5241.597751921526,6.629368364749366
36,Canada,,2020-03-12,21.698827417709772,18.71748390893286,15.736140400155957,16402.423104744557,8411.776203201309,421.1293016580634
37,Bermuda,,2020-04-27,1.8425170529950154,1.8669305750075846,1.8913440970201545,2.727709305612814,2.5489703849072987,2.370231464201783
38,Armenia,,2020-03-19,46.69192215043844,26.926636581461754,7.161351012485066,4364.893132493245,2202.3934859889496,39.893839484654286
39,Australia,Australian Capital Territory,2020-04-10,0.3352958275749849,0.45793898850927905,0.5805821494435729,0.3588575306676682,0.4856636071064953,0.6124696835453224
40,Bangladesh,,2020-04-06,181.7202354569999,91.72049900112957,1.720762545259278,208581.11954964377,104321.50266674199,61.8857838401489
41,Iran,,2020-02-27,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
42,Cyprus,,2020-03-24,4.4886251625149605,3.081105601624216,1.673586040733473,42.50509668951401,24.882331938588084,7.259567187662151
