,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
0,Afghanistan,,2020-03-30,73.4006350407458,31.382022976054337,10.372716943708602,18202.137322952698,6137.642478448894,105.39505619699146
1,Albania,,2020-03-25,17.362735972668027,7.791974917108294,3.006594389328427,217.18488041223287,81.703730201518,13.96315509616059
2,Algeria,,2020-03-22,11.570138945140311,6.277342606164418,3.6309444366764714,1117.1922286495235,399.6176381758889,40.830342939071556
3,American Samoa,,2022-03-01,3.284336365500008,8.999414659487604,11.856953806481405,196.7572599377016,167.22236096339424,152.45491147624054
4,Andorra,,2020-03-22,5.433964880279009,7.80185990936223,8.985807423903838,43.244825990865436,43.77702583850471,44.043125762324344
5,Angola,,2020-06-11,2.7765287386553754,3.162556433807578,3.3555702813836774,57.89922331746902,28.021936904034966,13.083293697317941
6,Anguilla,,2021-05-12,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
7,Antigua and Barbuda,,2020-09-28,4.0981959940799975,2.3395759312663613,1.4602658998595432,5.977545016813292,3.1381348959122928,1.7184298354617926
8,Argentina,,2020-03-13,29.068109177880768,21.43957576752675,17.62530906234972,5487.900063968805,1932.9079183901201,155.41184560077778
9,Armenia,,2020-03-19,6.378905436571734,5.671373180026208,5.317607051753444,540.4278699961428,201.42600176953434,31.92506765623009
10,Aruba,,2020-05-06,6.530235839865544,2.2008499231291183,0.03615696476090576,7.314978985717106,2.4626720181780453,0.036518534408514824
11,Australia,,2020-03-12,844.1012540870904,289.62785148837696,12.391150189020173,60600.45224576469,20404.286219689122,306.2032066513392
12,Austria,,2020-03-10,4.787902042154456,5.901535472718528,6.458352188000563,626.4625732051562,282.99557595252355,111.26207732620729
13,Azerbaijan,,2020-03-28,22.181284394483207,11.984442844095357,6.886022068901437,1873.5449501632836,665.9286884975903,62.120557664743735
14,Bahamas,,2020-05-30,406.14922783277206,136.60343593743363,1.8305399897644754,4387.669290166328,1463.9108717235492,2.031662502159794
15,Bahrain,,2020-03-10,25.292305878199183,24.194560039608007,23.64568712031241,1992.8596620826397,766.6617880980689,153.56285110578347
16,Bangladesh,,2020-04-06,12.25316611389625,27.65464110533055,35.3553786010477,12611.402278135285,4734.815905402821,796.5227190365906
17,Barbados,,2020-07-13,41.20485360572906,14.687751199091748,1.4291999957730883,78.31439886986527,27.349794635620032,1.8674925184974047
18,Belarus,,2020-03-31,8.234106655106684,10.119278335357114,11.06186417548233,4287.357802885582,1627.5142828205,297.59252278795935
19,Belgium,,2020-03-06,3.0854513651718243,2.9660013622396018,2.9062763607734907,1744.392122651809,756.4155076061727,262.42720008335453
20,Belize,,2020-08-08,829.6071368205254,280.5330083303903,5.995944085322718,24636.692077244592,8234.733979737623,33.75493098414108
21,Benin,,2020-05-10,11.109735594128447,8.453106167084792,7.124791453562969,185.30039238741026,80.07465138202417,27.461780879331133
22,Bermuda,,2020-04-27,2.946735473610636,2.006520099177115,1.5364124119603537,4.377045728016296,2.7731878493318334,1.971258909989602
23,Bhutan,,2020-07-29,695.1427223840233,233.5139358801119,2.6995426281562023,2215.9563502546907,741.8315096607566,4.769089363789655
24,Bolivia,,2020-04-01,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
25,Bosnia and Herzegovina,,2020-03-22,6.998727085469494,6.215728735261719,5.824229560157831,184.45872631079928,88.024823783924,39.807872520486356
26,Botswana,,2020-06-25,5.2807258315868175,7.010173128322221,7.8748967766899245,95.51523724775136,54.87551579918208,34.55565507489742
27,Brazil,,2020-03-16,28.54829789716529,37.18344875777967,41.501024188086845,130232.21643291342,44196.968801877025,1179.3449863588107
28,British Virgin Islands,,2021-01-06,0.5963599103051427,1.5936091767833283,2.0922338100224214,0.91800728420219,2.2077809298535707,2.8526677526792605
29,Brunei,,2020-03-25,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
30,Bulgaria,,2020-03-22,3.345841596008424,10.729918422249627,14.421956835370217,80.49260239428558,84.17102382217016,86.01023453611245
31,Burkina Faso,,2020-03-24,23.288862163067154,10.187665640889684,3.6370673798009525,205.80934767245793,78.45875940395923,14.783465269709874
32,Burundi,,2020-06-16,3.5614645879576625,5.76708534036395,6.869895716567092,15.544634522748611,15.318237541844955,15.205039051393127
33,Cambodia,,2020-03-29,2.5351485365096957,1.4350409287986559,0.8849871249431367,3.1917703732115754,1.772106405280304,1.0622744213146684
34,Cameroon,,2020-03-31,109.36910459046565,42.373792522473785,8.876136488477854,10667.348753225122,3616.4060370105312,90.93467890323527
35,Canada,,2020-03-12,16.127954750319518,45.09877433534584,59.58418412785901,13464.614800993773,5503.330433314354,1522.6882494746435
36,Cayman Islands,,2020-05-21,1.4149205124680464,1.659701683823304,1.7820922695009334,2.8722886403101344,2.9123906533539166,2.9324416598758085
37,Central African Republic,,2020-05-05,7.59409296798019,7.243614970581127,7.068375971881598,391.5935868258785,164.2647553743613,50.60033964860277
38,Chad,,2020-05-02,4.206724443996362,5.805543926481652,6.604953667724295,36.843704432499194,32.538243977954934,30.3855137506828
39,Chile,,2020-03-17,72.7473076899277,27.966801356293896,5.576548189476997,76425.68970472307,25599.838477362522,186.91286368225497
40,China,,2020-01-19,3.7912654265186903,16.42735372619202,22.74539787602869,3110.3522405296508,2500.2464054328143,2195.193487884396
41,Colombia,,2020-03-20,43.49695927837382,17.78258495471033,4.925397792878579,14344.609813786014,4832.528578773844,76.4879612677607
42,Comoros,,2020-06-13,2.273101046178613,3.7168901816432234,4.438784749375529,7.7628458032448275,9.019991199275873,9.648563897291398
