Country,Domain,0,1,2,3,4,5,6,7,8,9,10,11
Argentina,,0.10000000149011612,8.854724592444185e-11,1.0,0.019999999552965164,0.009999999776482582,4.799999713897705,0.0010000064503401518,0.05225299671292305,5.0,113.46794891357422,0.10000000149011612,2.200000047683716
Australia,,0.10000000149011612,9.057381475940929e-07,1.0,0.019999999552965164,0.010000035166740417,4.799846649169922,0.001005659461952746,0.22597740590572357,5.0,125.09031677246094,0.10000000149011612,2.200000047683716
Austria,,0.10000000149011612,1.613859653554206e-12,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000003967434168,0.027653465047478676,5.0,108.57770538330078,0.10000000149011612,2.200000047683716
Belgium,,0.10000000149011612,1.4229398909160196e-11,1.0,0.019999999552965164,0.009999999776482582,4.799999713897705,0.0010000016773119569,0.03906268998980522,5.0,111.21394348144531,0.10000000149011612,2.200000047683716
Bolivia,,0.10000000149011612,2.1265835759010088e-09,1.0,0.019999999552965164,0.009999999776482582,4.799994945526123,0.0010000666370615363,0.08675569295883179,5.0,117.45857238769531,0.10000000149011612,2.200000047683716
Brazil,,0.10000000149011612,4.641585543924218e-15,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.011248162016272545,5.0,101.51514434814453,0.10000000149011612,2.200000047683716
Canada,,0.10000000149011612,1.2896744436274865e-11,1.0,0.019999999552965164,0.009999999776482582,4.799999713897705,0.001000001560896635,0.03846430778503418,5.0,111.06486511230469,0.10000000149011612,2.200000047683716
Chile,,0.10000000149011612,2.39431456432182e-12,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000005131587386,0.029466990381479263,5.0,109.01203918457031,0.10000000149011612,2.200000047683716
China,,0.10000000149011612,9.034114789585601e-09,1.0,0.019999999552965164,0.010000000707805157,4.799988269805908,0.0010001924820244312,0.10934722423553467,5.0,119.19758605957031,0.10000000149011612,2.200000047683716
Colombia,,0.10000000149011612,2.0487841498740937e-14,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.014065586030483246,5.0,103.30207824707031,0.10000000149011612,2.200000047683716
Costa Rica,,0.10000000149011612,1.6783872069936479e-06,1.0,0.019999999552965164,0.010000059381127357,4.799782752990723,0.001008922467008233,0.2490835338830948,5.0,125.84644317626953,0.10000000149011612,2.200000047683716
Democratic Republic of Congo,,0.10000000149011612,1.646090709073178e-06,1.0,0.019999999552965164,0.010000058449804783,4.799785137176514,0.001008794759400189,0.2484293431043625,5.0,125.88691711425781,0.10000000149011612,2.200000047683716
Denmark,,0.10000000149011612,2.4206029181073063e-08,1.0,0.019999999552965164,0.010000001639127731,4.799980163574219,0.0010003962088376284,0.12764222919940948,5.0,120.49800109863281,0.10000000149011612,2.200000047683716
Ecuador,,0.10000000149011612,9.44400824209879e-09,1.0,0.019999999552965164,0.010000000707805157,4.799988269805908,0.0010001987684518099,0.1099628433585167,5.0,119.37938690185547,0.10000000149011612,2.200000047683716
El Salvador,,0.10000000149011612,0.000427346647484228,1.0,0.019999999552965164,0.010006566531956196,4.795183181762695,0.0015204261289909482,0.5747665762901306,5.0,133.06846618652344,0.10000009089708328,2.199997901916504
France,,0.10000000149011612,8.336674290911175e-17,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.006295929662883282,5.0,96.7622299194336,0.10000000149011612,2.200000047683716
Germany,,0.10000000149011612,9.842994195524807e-25,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.001264242804609239,5.0,77.03687286376953,0.10000000149011612,2.200000047683716
Ghana,,0.10000000149011612,0.00020666755153797567,1.0,0.019999999552965164,0.010003543458878994,4.796790599822998,0.0013053209986537695,0.5169568061828613,5.0,132.12335205078125,0.10000002384185791,2.1999990940093994
Guatemala,,0.10000000149011612,4.496982786150738e-09,1.0,0.019999999552965164,0.009999999776482582,4.799992561340332,0.0010001154150813818,0.09774929285049438,5.0,118.393798828125,0.10000000149011612,2.200000047683716
Ireland,,0.10000000149011612,2.774457108500883e-08,1.0,0.019999999552965164,0.010000001639127731,4.799978256225586,0.001000438816845417,0.1306062936782837,5.0,120.68309783935547,0.10000000149011612,2.200000047683716
Israel,,0.10000000149011612,1.9848866994465197e-10,1.0,0.019999999552965164,0.009999999776482582,4.799999237060547,0.001000011689029634,0.05940767750144005,5.0,114.46048736572266,0.10000000149011612,2.200000047683716
Italy,,0.10000000149011612,5.688533005103816e-14,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.01642720028758049,5.0,104.45511627197266,0.10000000149011612,2.200000047683716
Japan,,0.10000000149011612,9.887132819130784e-07,1.0,0.019999999552965164,0.010000037960708141,4.799838542938232,0.001006048871204257,0.22947092354297638,5.0,125.192138671875,0.10000000149011612,2.200000047683716
Mexico,,0.10000000149011612,3.8548011354125333e-13,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000001639127731,0.022121449932456017,5.0,106.79902648925781,0.10000000149011612,2.200000047683716
Netherlands,,0.10000000149011612,5.1311409677538296e-17,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.00588717358186841,5.0,96.1717758178711,0.10000000149011612,2.200000047683716
Nigeria,,0.10000000149011612,3.3762783679947006e-09,1.0,0.019999999552965164,0.009999999776482582,4.799993515014648,0.0010000935290008783,0.0934402197599411,5.0,117.9992446899414,0.10000000149011612,2.200000047683716
Panama,,0.10000000149011612,8.759943881386789e-08,1.0,0.019999999552965164,0.010000004433095455,4.799958229064941,0.0010010208934545517,0.15672416985034943,5.0,122.12838745117188,0.10000000149011612,2.200000047683716
Paraguay,,0.10000000149011612,4.1280154619016685e-06,1.0,0.019999999552965164,0.010000127367675304,4.799640655517578,0.0010172626934945583,0.28619685769081116,5.0,127.08294677734375,0.10000000149011612,2.200000047683716
Peru,,0.10000000149011612,9.444434302544394e-14,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.017783107236027718,5.0,105.1066665649414,0.10000000149011612,2.200000047683716
Poland,,0.10000000149011612,1.4401877024283749e-08,1.0,0.019999999552965164,0.010000000707805157,4.799985408782959,0.0010002711787819862,0.11767828464508057,5.0,119.83838653564453,0.10000000149011612,2.200000047683716
Portugal,,0.10000000149011612,5.906453914828434e-15,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.011626610532402992,5.0,101.80935668945312,0.10000000149011612,2.200000047683716
Puerto Rico,,0.10000000149011612,3.566103501384532e-08,1.0,0.019999999552965164,0.010000001639127731,4.799975395202637,0.0010005272924900055,0.1358373612165451,5.0,121.0156478881836,0.10000000149011612,2.200000047683716
South Korea,,0.10000000149011612,6.860752819193294e-06,1.0,0.019999999552965164,0.010000196285545826,4.799522876739502,0.0010250585619360209,0.309520423412323,5.0,127.73542022705078,0.10000000149011612,2.200000047683716
Spain,,0.10000000149011612,6.407352191774022e-18,1.0,0.019999999552965164,0.009999999776482582,4.800000190734863,0.0010000000474974513,0.004476342815905809,5.0,93.78900146484375,0.10000000149011612,2.200000047683716
Sweden,,0.10000000149011612,3.4647138491550322e-09,1.0,0.019999999552965164,0.009999999776482582,4.799993515014648,0.001000095158815384,0.09369252622127533,5.0,118.03174591064453,0.10000000149011612,2.200000047683716
